case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows,version
10_3d_small_clustered_obstacles,cost_phase,linear_valid,M5 (hybrid),2.5198191075668133,0.8020833333333334,1.3744467859455345,0.4375,47,0.9583382193948764,0.6666666666666666,0.5520833333333334,0.2083333333333333,44,0.0512485632240591,18,12,V4
01_1d_tiny_single_gap,descent,linear_valid,M5 (hybrid),0.7853981633974483,0.25,0.9490227807719168,0.3020833333333333,30,0.928340999143334,0.2,0.0833333333333333,0.09375,26,0.3660054238140489,5,1,V5
02_1d_main_reference,descent,linear_valid,M5 (hybrid),0.2945243112740431,0.09375,0.3599741582238304,0.1145833333333333,18,0.937034814857316,0.2857142857142857,-0.00625,-0.0354166666666666,3,0.0841689857954306,7,2,V5
03_1d_two_free_regions,oriented_valid,linear_valid,M5 (hybrid),1.014472627721704,0.3229166666666666,0.8999353955595761,0.2864583333333333,60,0.941732612343324,0.375,0.2895833333333333,0.203125,51,0.0708954214472025,8,3,V5
04_1d_clustered_medium,oriented_valid,linear_valid,M5 (hybrid),0.7526732399225546,0.2395833333333333,0.6217735460229799,0.1979166666666666,59,0.8718763994263197,0.2857142857142857,0.03125,0.03125,55,0.2598674163181979,14,4,V5
05_1d_long_clustered_blocks,oriented_valid,linear_valid,M5 (hybrid),0.0654498469497873,0.0208333333333333,0.098174770424681,0.03125,54,0.8716017588507244,0.3793103448275862,-0.0625,-0.03125,38,0.1186820222070634,29,11,V5
06_2d_tiny_corner_block,descent,linear_valid,M5 (hybrid),1.4726215563702154,0.4687499999999999,0.9326603190344698,0.296875,57,0.9817351760672968,0.25,-0.1145833333333333,-0.0572916666666666,2,0.0565061301809386,4,1,V5
07_2d_small_diagonal_block,oriented_valid,linear_valid,M5 (hybrid),0.3272492347489368,0.1041666666666666,0.3272492347489368,0.1041666666666666,58,0.7792699399955559,0.1111111111111111,-0.0624999999999999,-0.0833333333333333,28,0.1908191107635155,9,1,V5
08_2d_medium_clustered_obstacles,oriented_valid,linear_valid,M5 (hybrid),0.1308996938995747,0.0416666666666666,0.1145372321621278,0.0364583333333333,57,0.9465093161281856,0.5625,-0.1666666666666666,-0.1302083333333333,56,0.1611002571514002,16,9,V5
09_2d_rectangular_window,delta_cost,linear_valid,M5 (hybrid),0.9490227807719166,0.3020833333333333,1.308996938995747,0.4166666666666666,23,0.8699755708601757,0.4,-0.4062499999999999,0.0625,-11,0.1842595079779949,20,8,V5
10_3d_small_clustered_obstacles,oriented_valid,linear_valid,M5 (hybrid),0.6544984694978735,0.2083333333333333,0.5399612373357456,0.1718749999999999,20,0.9777160320039012,0.6666666666666666,0.0416666666666666,0.0468749999999999,15,0.0103001088874685,18,12,V5
01_1d_tiny_single_gap,cost_phase,rx_all,M5 (hybrid),2.9779680362153247,0.9479166666666666,1.0471975511965976,0.3333333333333333,38,0.6865224360857562,0.2,0.5729166666666666,0.2291666666666666,19,0.1356305372959276,5,1,V4
02_1d_main_reference,cost_phase,rx_all,M5 (hybrid),0.6872233929727672,0.21875,0.3272492347489368,0.1041666666666666,55,0.82629710474557,0.2857142857142857,-0.1145833333333333,-0.0868192650436077,45,0.1452360157679293,7,2,V4
03_1d_two_free_regions,cost_phase,rx_all,M5 (hybrid),0.5563236990731925,0.1770833333333333,0.2454369260617026,0.078125,57,0.9577244407664046,0.375,-0.28125,-0.2343749999999999,13,0.1078739398758168,8,3,V4
04_1d_clustered_medium,cost_phase,rx_all,M5 (hybrid),0.5563236990731925,0.1770833333333333,0.3272492347489368,0.1041666666666666,51,0.8014832021783245,0.2857142857142857,0.0104166666666666,0.0416666666666666,28,0.1010928628574779,14,4,V4
05_1d_long_clustered_blocks,cost_phase,rx_all,M5 (hybrid),0.1308996938995747,0.0416666666666666,0.0654498469497873,0.0208333333333333,50,0.7422403408619944,0.3793103448275862,-0.1666666666666666,-0.0416666666666666,48,0.0597976538532385,29,11,V4
06_2d_tiny_corner_block,cost_phase,rx_all,M5 (hybrid),0.6217735460229799,0.1979166666666666,0.2617993877991494,0.0833333333333333,37,0.9656975409338664,0.25,-0.5104166666666666,-0.1875,6,0.0273105380352215,4,1,V4
07_2d_small_diagonal_block,cost_phase,rx_all,M5 (hybrid),1.4726215563702154,0.4687499999999999,0.4417864669110646,0.140625,47,0.5539578046788045,0.1111111111111111,-0.03125,-0.0052083333333333,27,0.1438072492804903,9,1,V4
08_2d_medium_clustered_obstacles,cost_phase,rx_all,M5 (hybrid),0.1636246173744683,0.0520833333333333,0.0818123086872341,0.0260416666666666,55,0.9463863895069272,0.5625,-0.1562499999999999,-0.0989583333333333,43,0.0639865645445806,16,9,V4
09_2d_rectangular_window,cost_phase,rx_all,M5 (hybrid),3.141592653589793,1.0,1.3744467859455345,0.4375,58,0.6373592395560534,0.4,0.8333333333333334,0.3958333333333333,56,0.0188164753577113,20,8,V4
10_3d_small_clustered_obstacles,cost_phase,rx_all,M5 (hybrid),0.2617993877991494,0.0833333333333333,0.0654498469497873,0.0208333333333333,47,0.820381987424035,0.6666666666666666,-0.1666666666666666,-0.0416666666666666,46,0.0002344944767136,18,12,V4
01_1d_tiny_single_gap,oriented_valid,rx_all,M5 (hybrid),1.1780972450961724,0.375,0.3926990816987241,0.125,57,0.697945774693455,0.2,0.0416666666666666,0.0208333333333333,42,0.1541098271752559,5,1,V5
02_1d_main_reference,oriented_valid,rx_all,M5 (hybrid),1.3089969389957472,0.4166666666666667,0.3763366199612772,0.1197916666666666,11,0.8175687512413217,0.2857142857142857,0.3333333333333333,0.0989583333333333,-24,0.0237789423547418,7,2,V5
03_1d_two_free_regions,descent,rx_all,M5 (hybrid),2.1598449493429825,0.6874999999999999,0.605411084285533,0.1927083333333333,46,0.918492429643521,0.375,0.0625,-0.0156249999999999,-14,0.107417571157602,8,3,V5
04_1d_clustered_medium,oriented_valid,rx_all,M5 (hybrid),0.5890486225480862,0.1875,0.2290744643242557,0.0729166666666666,56,0.8689007418077037,0.2857142857142857,-0.1041666666666666,-0.0312499999999999,9,0.0961980463482266,14,4,V5
05_1d_long_clustered_blocks,oriented_valid,rx_all,M5 (hybrid),0.196349540849362,0.0625,0.0490873852123405,0.015625,48,0.8486998334919649,0.3793103448275862,-0.1875,-0.0416707795130823,35,0.0427452743875075,29,11,V5
06_2d_tiny_corner_block,descent,rx_all,M5 (hybrid),1.5707963267948966,0.5,0.7853981633974483,0.25,1,1.0,0.25,0.4583333333333333,0.2291666666666666,-50,0.0027841334198313,4,1,V5
07_2d_small_diagonal_block,oriented_valid,rx_all,M5 (hybrid),0.8508480103472356,0.2708333333333333,0.196349540849362,0.0625,25,0.5440549670336661,0.1111111111111111,-0.1041666666666666,-0.0208333333333333,6,0.055398531654477,9,1,V5
08_2d_medium_clustered_obstacles,descent,rx_all,M5 (hybrid),3.1088677301148997,0.9895833333333331,0.9981101659842572,0.3177083333333333,34,0.977380851266082,0.5625,0.15625,0.0885416666666666,-16,0.0730391250704904,16,9,V5
09_2d_rectangular_window,oriented_valid,rx_all,M5 (hybrid),0.6544984694978735,0.2083333333333333,0.196349540849362,0.0625,59,0.7274016154666875,0.4,-0.125,-0.0208333333333333,58,0.0627363419524634,20,8,V5
10_3d_small_clustered_obstacles,descent,rx_all,M5 (hybrid),1.1126473981463851,0.3541666666666667,0.2127120025868089,0.0677083333333333,1,0.8710105859406754,0.6666666666666666,-0.0208333333333333,0.0052083333333333,0,0.0011400229152652,18,12,V5
