case,P_valid_V4,mixer_method_V4,theta_over_pi_V4,beta_over_pi_V4,r_V4,P_valid_V5,mixer_method_V5,transition_mode,theta_over_pi_V5,beta_over_pi_V5,r_V5,method,delta_V5_minus_V4
01_1d_tiny_single_gap,0.4466625258399798,local_geometric,0.5,0.3524163823495668,1,0.3431083505599865,local_geometric,oriented_valid,0.5,0.3524163823495668,1,M3 (theory),-0.10355417527999328
02_1d_main_reference,0.5434826579025785,local_geometric,0.5,0.25,1,0.6220485816205198,rx_all,delta_cost,0.5,0.3788810584091566,1,M3 (theory),0.07856592371794124
03_1d_two_free_regions,0.635507637428856,linear_valid,0.5,0.1871670418109988,1,0.4940158390097054,linear_valid,descent,0.5,0.1871670418109988,1,M3 (theory),-0.14149179841915055
04_1d_clustered_medium,0.597140972584495,linear_valid,0.5,0.25,1,0.2807520960141166,linear_valid,valid_boundary,0.5,0.25,1,M3 (theory),-0.31638887657037834
05_1d_long_clustered_blocks,0.590991734570928,local_geometric,0.5,0.1589469981442512,1,0.4464959844398076,linear_valid,descent,0.5,0.1589469981442512,1,M3 (theory),-0.14449575013112043
06_2d_tiny_corner_block,0.4675999999999999,local_geometric,0.5,0.3524163823495668,1,0.81,rx_all,descent,0.5,0.3524163823495668,1,M3 (theory),0.34240000000000015
07_2d_small_diagonal_block,0.2668401098152571,local_geometric,0.5,0.3524163823495668,1,0.2136416907750747,linear_valid,descent,0.5,0.3524163823495668,1,M3 (theory),-0.05319841904018238
08_2d_medium_clustered_obstacles,0.6664399794432664,linear_valid,0.5,0.1871670418109988,1,0.6779531327068535,linear_valid,descent,0.5,0.1871670418109988,1,M3 (theory),0.01151315326358715
09_2d_rectangular_window,0.4898800499751693,linear_valid,0.5,0.25,1,0.4712434928582109,local_geometric,descent,0.5,0.2852232874772772,1,M3 (theory),-0.01863655711695844
10_3d_small_clustered_obstacles,0.8055071660907984,linear_valid,0.5,0.1871670418109988,1,0.7825050310619207,local_geometric,oriented_valid,0.5,0.2627256113479918,1,M3 (theory),-0.023002135028877713
01_1d_tiny_single_gap,0.3559617972017831,local_geometric,0.4836630776756255,0.2644467808390713,5,0.3351654694977293,local_geometric,delta_cost,0.2630049427803858,0.2020121123886634,48,M4 (grad),-0.02079632770405382
02_1d_main_reference,0.2840027008697079,local_geometric,0.2479294623270594,0.4998813225562599,28,0.604887324503381,rx_all,descent,0.4174724582491455,0.1666666666666666,1,M4 (grad),0.3208846236336731
03_1d_two_free_regions,0.5421659837179379,rx_all,0.2843468032127501,0.1666666666666666,44,0.6104063823166981,local_geometric,valid_boundary,0.2026917965718486,0.1647701816980014,45,M4 (grad),0.06824039859876019
04_1d_clustered_medium,0.2856221225739492,local_geometric,0.2820484393876163,0.4999016724120885,2,0.6468154897062448,rx_all,oriented_valid,0.3309151304880096,0.1666666666666666,47,M4 (grad),0.3611933671322956
05_1d_long_clustered_blocks,0.4309051026368792,rx_all,0.4557245137258409,0.1666666666666666,2,0.5204407306076495,local_geometric,oriented_valid,0.2184499933156738,0.0895507887860911,16,M4 (grad),0.0895356279707703
06_2d_tiny_corner_block,0.5076227790762033,linear_valid,0.4053900634534384,0.2933828822046126,20,0.437795472391542,local_geometric,oriented_valid,0.2543718407895423,0.3487046955088559,33,M4 (grad),-0.06982730668466136
07_2d_small_diagonal_block,0.1355121455520211,rx_all,0.2662412848279141,0.1666666666666666,20,0.4445451022243148,linear_valid,descent,0.2571774360291795,0.1610695291837323,52,M4 (grad),0.3090329566722937
08_2d_medium_clustered_obstacles,0.7147164868789253,linear_valid,0.2680741878717176,0.2975933372382475,6,0.8285147184588102,rx_all,oriented_valid,0.329792088340413,0.1666666666666666,59,M4 (grad),0.11379823157988489
09_2d_rectangular_window,0.3999425693543484,linear_valid,0.3054317323702588,0.4996475951843645,2,0.5410104503517241,linear_valid,valid_boundary,0.1635285133464138,0.1194182346101576,14,M4 (grad),0.14106788099737572
10_3d_small_clustered_obstacles,0.6666116819129951,local_geometric,0.3536873202462974,0.4999597163748943,2,0.890121075035172,linear_valid,oriented_valid,0.2474268060695364,0.0867147337822106,5,M4 (grad),0.22350939312217688
01_1d_tiny_single_gap,0.7608680091828334,local_geometric,0.09375,0.0625,46,0.928340999143334,local_geometric,descent,0.25,0.3020833333333333,30,M5 (hybrid),0.16747298996050064
02_1d_main_reference,0.9299103428956494,local_geometric,0.09375,0.1145833333333333,33,0.937034814857316,linear_valid,descent,0.09375,0.1145833333333333,18,M5 (hybrid),0.007124471961666545
03_1d_two_free_regions,0.96910800954321,linear_valid,0.3333333333333333,0.3958333333333333,46,0.941732612343324,linear_valid,oriented_valid,0.3229166666666666,0.2864583333333333,60,M5 (hybrid),-0.02737539719988602
04_1d_clustered_medium,0.8735805768078663,local_geometric,0.0833333333333333,0.0833333333333333,60,0.8718763994263197,local_geometric,oriented_valid,0.2395833333333333,0.1979166666666666,59,M5 (hybrid),-0.001704177381546601
05_1d_long_clustered_blocks,0.9215975440186212,local_geometric,0.0208333333333333,0.0416666666666666,21,0.8716017588507244,local_geometric,oriented_valid,0.0208333333333333,0.03125,54,M5 (hybrid),-0.04999578516789671
06_2d_tiny_corner_block,0.9656975409338664,rx_all,0.1979166666666666,0.0833333333333333,37,1.0,rx_all,descent,0.5,0.25,1,M5 (hybrid),0.034302459066133606
07_2d_small_diagonal_block,0.7770157867079567,local_geometric,0.0416666666666666,0.0208333333333333,54,0.7951317577199559,local_geometric,oriented_valid,0.3020833333333333,0.4270833333333332,58,M5 (hybrid),0.018115971011999243
08_2d_medium_clustered_obstacles,0.9864949477064529,local_geometric,0.1354166666666666,0.09375,30,0.9803508517698528,local_geometric,oriented_valid,0.15625,0.0989583333333333,28,M5 (hybrid),-0.006144095936600036
09_2d_rectangular_window,0.9127388068833634,local_geometric,0.0416666666666666,0.0364583333333333,31,0.9195390706389442,local_geometric,oriented_valid,0.0625,0.0364583333333333,12,M5 (hybrid),0.006800263755580849
10_3d_small_clustered_obstacles,0.9733361271388428,local_geometric,0.7083333333333333,0.125,14,0.9797174036655476,local_geometric,oriented_valid,0.0729166666666666,0.0416666666666666,58,M5 (hybrid),0.006381276526704838
