method,V4_mean_P_valid,V5_mean_P_valid,mean_delta_V5_minus_V4,V4_median_P_valid,V5_median_P_valid,V5_wins_cases,cases
Experimental,0.8334728166452511,0.8678291869254655,0.034356370280214474,0.8419579307288485,0.8847550465582897,7,10
M1 (sweep),0.8881370385058404,0.9035761127296675,0.01543907422382731,0.9011000983027488,0.919955696845113,6,10
M2 (eigen),0.6534330779517422,0.6984334281827616,0.045000350231019476,0.6598657823578598,0.768741770547017,6,10
M3 (theory),0.5510052833651329,0.5141764199046195,-0.03682886346051326,0.5672371962367533,0.4826296659339582,3,10
M4 (grad),0.43230633697747506,0.5859702215093264,0.1536638845318515,0.41542383599561383,0.5729488874275526,8,10
M5 (hybrid),0.9070347691818663,0.922532566841532,0.015497797659665635,0.9257539434571354,0.932687907000325,6,10
