transition_mode,mixer_method,method,mean_P_valid,median_P_valid,std_P_valid,min_P_valid,max_P_valid,wins_best_by_case,cases,version
valid_boundary,rx_all,M5 (hybrid),0.5845770982821266,0.5541238792156282,0.184289754252301,0.3075056014565198,0.9766274094581602,0,10,V5
valid_boundary,rx_all,Experimental,0.5050909705266947,0.5206804919158095,0.1851188229132651,0.1548078896091956,0.824086054585994,0,10,V5
oriented_valid,local_geometric,M1 (sweep),0.8650383915180292,0.8780751430781975,0.0767639060652181,0.7201078845850482,0.963615205112744,0,10,V5
oriented_valid,local_geometric,M2 (eigen),0.5463238036586539,0.5090905213306889,0.2037065060263806,0.2412283935732125,0.9149784769742476,0,10,V5
oriented_valid,local_geometric,M3 (theory),0.3528376151981672,0.3370563312779152,0.1813106871741668,0.1183717776303674,0.7825050310619207,0,10,V5
oriented_valid,local_geometric,M4 (grad),0.4117738819583897,0.4272638418645428,0.2189560145846353,0.0398992543341146,0.8215183487768033,0,10,V5
oriented_valid,local_geometric,M5 (hybrid),0.9057952482576894,0.9028830699573508,0.0536676841891318,0.7951317577199559,0.9803508517698528,7,10,V5
oriented_valid,local_geometric,Experimental,0.8181139658884377,0.8534973005309119,0.1022669548407083,0.6127723481522416,0.9542656522920218,0,10,V5
oriented_valid,linear_valid,M1 (sweep),0.8500809096064899,0.871106418655351,0.1049217194568324,0.5905179419429676,0.969869568951212,0,10,V5
oriented_valid,linear_valid,M2 (eigen),0.5094626492555866,0.499912309945914,0.2034959094740309,0.1500332700256371,0.8180044858225206,0,10,V5
oriented_valid,linear_valid,M3 (theory),0.300207959201588,0.3301505677977902,0.1472504561526108,0.07658506875375,0.5491501911978246,0,10,V5
oriented_valid,linear_valid,M4 (grad),0.3902634873569952,0.3431843950280767,0.2267654405806979,0.0756710750075838,0.890121075035172,0,10,V5
oriented_valid,linear_valid,M5 (hybrid),0.9002797174783312,0.909046705909068,0.0552205272043427,0.7792699399955559,0.9777160320039012,0,10,V5
oriented_valid,linear_valid,Experimental,0.7704940554766597,0.7736942218614427,0.1211546921860749,0.5884508292320404,0.9674159231164328,0,10,V5
oriented_valid,rx_all,M1 (sweep),0.7856524497490865,0.8323016633078613,0.1291696174652813,0.5053876548783928,0.97662740945816,0,10,V5
oriented_valid,rx_all,M2 (eigen),0.6552768865924771,0.6856766769237481,0.1757584648192138,0.327584264617749,0.8624722145298213,0,10,V5
oriented_valid,rx_all,M3 (theory),0.2430138510587046,0.2061802657788892,0.1726425381410855,0.0185444444444444,0.5755572438994172,0,10,V5
oriented_valid,rx_all,M4 (grad),0.4108127692369737,0.4719941462401248,0.223752121184603,0.0802206713151956,0.8285147184588102,0,10,V5
oriented_valid,rx_all,M5 (hybrid),0.8057397617722252,0.8416922997198266,0.1147082452417963,0.5440549670336661,0.97662740945816,0,10,V5
oriented_valid,rx_all,Experimental,0.746491573746842,0.7997668056498952,0.1300996623453455,0.488656435379189,0.9157550016051352,0,10,V5
