version,transition_mode,mixer_method,method,mean_best_P_valid,median_best_P_valid,min_best_P_valid,max_best_P_valid,wins_best_by_case,cases
V5,valid_boundary,local_geometric,M5 (hybrid),0.7724540031994783,0.8682413185036398,0.3313807865153701,0.971530649047698,0,10
V5,oriented_valid,linear_valid,Experimental,0.7704940554766597,0.7736942218614427,0.5884508292320404,0.9674159231164328,0,10
V5,descent,local_geometric,Experimental,0.7658697368550986,0.832727902778753,0.5100769655553824,0.9612145985032564,0,10
V4,cost_phase,linear_valid,Experimental,0.7635131347861311,0.7804339110780256,0.4569905350805526,0.9070896561708174,0,10
V5,descent,linear_valid,Experimental,0.7626071245658063,0.7925910500620543,0.5623355753292851,0.9452215175430948,0,10
V5,delta_cost,local_geometric,M1 (sweep),0.7617177046497017,0.7791686985419182,0.5241530570353398,0.9354756972232968,0,10
V4,cost_phase,rx_all,M1 (sweep),0.7568471236274777,0.76110863759121,0.4779691888051112,0.9574046875282726,0,10
V5,valid_boundary,linear_valid,M1 (sweep),0.750365128851987,0.7331394566800203,0.4532431298432418,0.9499708561479092,0,10
V5,oriented_valid,rx_all,Experimental,0.746491573746842,0.7997668056498952,0.488656435379189,0.9157550016051352,0,10
V5,descent,rx_all,M5 (hybrid),0.7426270958674276,0.7385774163888512,0.4070112281167709,1.0,1,10
V5,delta_cost,rx_all,M5 (hybrid),0.739736126955824,0.7598506227518074,0.4195676459829979,0.974334261114404,0,10
V5,valid_boundary,local_geometric,M1 (sweep),0.7274892964092976,0.7847234422499623,0.3247730432189802,0.9333316055838788,0,10
V5,descent,rx_all,M1 (sweep),0.7153288235490628,0.703766051153081,0.3997831873091815,1.0,0,10
V4,cost_phase,rx_all,Experimental,0.7134264155392629,0.6914165131648011,0.4101505553983142,0.9383870028986449,0,10
V5,delta_cost,rx_all,M1 (sweep),0.7116338296880762,0.7058602017349844,0.4133405596186143,0.9422071124535384,0,10
V5,delta_cost,local_geometric,Experimental,0.6928073576294547,0.7205024994181067,0.3266229012348251,0.8823710279805349,0,10
V5,descent,rx_all,Experimental,0.6657336814877404,0.6146842336404084,0.3011477527685099,0.9972158665801688,0,10
V5,delta_cost,rx_all,Experimental,0.6559342970674613,0.6476043488229986,0.3656290129937933,0.9487756971785872,0,10
V5,oriented_valid,rx_all,M2 (eigen),0.6552768865924771,0.6856766769237481,0.327584264617749,0.8624722145298213,0,10
V5,valid_boundary,local_geometric,Experimental,0.6462294906468595,0.6916957786989096,0.3111390859788946,0.923333777119036,0,10
V5,valid_boundary,linear_valid,Experimental,0.6390760119060942,0.6344394334185732,0.2785615410178534,0.905171238056386,0,10
V4,cost_phase,rx_all,M2 (eigen),0.6354422670086757,0.6598657823578598,0.3476697316247032,0.8142605093746516,0,10
V4,cost_phase,local_geometric,M2 (eigen),0.6151125255643153,0.643766348456041,0.2693224860413215,0.8877267099037187,0,10
V4,cost_phase,linear_valid,M2 (eigen),0.5929444370995915,0.5947077507022701,0.2374186824028426,0.8601265256344713,0,10
V5,valid_boundary,rx_all,M5 (hybrid),0.5845770982821266,0.5541238792156282,0.3075056014565198,0.9766274094581602,0,10
V5,descent,rx_all,M2 (eigen),0.5696490445088596,0.5525228184832556,0.2262936882808958,0.8372540144352861,0,10
V5,valid_boundary,rx_all,M1 (sweep),0.5673411241880781,0.5427920912037468,0.2316685066835152,0.9766274094581602,0,10
V5,oriented_valid,local_geometric,M2 (eigen),0.5463238036586539,0.5090905213306889,0.2412283935732125,0.9149784769742476,0,10
V5,descent,local_geometric,M2 (eigen),0.5450552794086461,0.5904422610532658,0.1935541321592259,0.906502706504869,0,10
