case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
01_1d_tiny_single_gap,cost_phase,rx_all,M1 (sweep),2.617993877991494,0.8333333333333333,0.9817477042468102,0.31249999999999994,17,0.5762516254194929,0.2,0.45833333333333326,0.20833333333333331,-2,0.025359726629664348,5,1
01_1d_tiny_single_gap,cost_phase,rx_all,M2 (eigen),1.5707963267948966,0.5,0.3,0.0954929658551372,19,0.4529060294271207,0.2,0.125,-0.008673700811529452,0,-0.09798586936270787,5,1
01_1d_tiny_single_gap,cost_phase,rx_all,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.07199999999999998,0.2,0.125,0.24824971568290014,-18,-0.47889189878982863,5,1
01_1d_tiny_single_gap,cost_phase,rx_all,M4 (grad),0.9105309551038963,0.2898310046859394,0.5235987755982988,0.16666666666666666,19,0.1325212717539568,0.2,-0.08516899531406055,0.0625,0,-0.4183706270358718,5,1
01_1d_tiny_single_gap,cost_phase,rx_all,M5 (hybrid),2.9779680362153247,0.9479166666666666,1.0471975511965976,0.3333333333333333,38,0.6865224360857562,0.2,0.5729166666666666,0.22916666666666666,19,0.13563053729592767,5,1
01_1d_tiny_single_gap,cost_phase,rx_all,Experimental,1.1780972450961724,0.375,0.32724923474893675,0.10416666666666666,19,0.5508918987898286,0.2,0.0,0.0,0,0.0,5,1
02_1d_main_reference,cost_phase,local_geometric,M1 (sweep),0.39269908169872414,0.125,0.4581489286485115,0.14583333333333331,25,0.8938692459644796,0.2857142857142857,0.08333333333333334,0.08333333333333333,-3,0.056501744475580984,7,2
02_1d_main_reference,cost_phase,local_geometric,M2 (eigen),1.0471975511965976,0.3333333333333333,0.6,0.1909859317102744,28,0.6820270861853173,0.2857142857142857,0.29166666666666663,0.1284859317102744,0,-0.15534041530358134,7,2
02_1d_main_reference,cost_phase,local_geometric,M3 (theory),1.5707963267948966,0.5,0.7853981633974483,0.25,1,0.5434826579025785,0.2857142857142857,0.4583333333333333,0.1875,-27,-0.29388484358632005,7,2
02_1d_main_reference,cost_phase,local_geometric,M4 (grad),0.7788933774551572,0.2479294623270594,1.570423490609496,0.49988132255625994,28,0.2840027008697079,0.2857142857142857,0.20626279566039274,0.43738132255625994,0,-0.5533648006191907,7,2
