case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
01_1d_tiny_single_gap,cost_phase,local_geometric,M5 (hybrid),0.2945243112740431,0.09375,0.19634954084936207,0.0625,46,0.7608680091828334,0.2,-0.039583333333333325,-0.004166666666666664,41,0.0582704308742219,5,1
02_1d_main_reference,cost_phase,local_geometric,M5 (hybrid),0.2945243112740431,0.09375,0.3599741582238304,0.11458333333333331,33,0.9299103428956494,0.2857142857142857,0.052083333333333336,0.05208333333333331,5,0.09254284140675084,7,2
03_1d_two_free_regions,cost_phase,local_geometric,M5 (hybrid),1.0471975511965976,0.3333333333333333,1.2435470920459597,0.3958333333333333,46,0.96910800954321,0.375,0.29166666666666663,0.35416666666666663,32,0.10448658348170847,8,3
04_1d_clustered_medium,cost_phase,local_geometric,M5 (hybrid),0.2617993877991494,0.08333333333333333,0.2617993877991494,0.08333333333333333,60,0.8735805768078663,0.2857142857142857,-0.18333333333333332,-0.08333333333333333,58,0.14437409235926157,14,4
05_1d_long_clustered_blocks,cost_phase,local_geometric,M5 (hybrid),0.06544984694978735,0.020833333333333332,0.13089969389957473,0.04166666666666667,21,0.9215975440186213,0.3793103448275862,-0.14583333333333331,-0.10833333333333332,18,0.16928750269490012,29,11
06_2d_tiny_corner_block,cost_phase,rx_all,M5 (hybrid),0.6217735460229799,0.19791666666666666,0.2617993877991494,0.08333333333333333,37,0.9656975409338664,0.25,-0.5104166666666666,-0.1875,6,0.027310538035221543,4,1
07_2d_small_diagonal_block,cost_phase,local_geometric,M5 (hybrid),0.1308996938995747,0.041666666666666664,0.06544984694978735,0.020833333333333332,54,0.7770157867079567,0.1111111111111111,0.008333333333333331,0.004166666666666666,-3,0.06273789914870231,9,1
08_2d_medium_clustered_obstacles,cost_phase,local_geometric,M5 (hybrid),0.4254240051736178,0.13541666666666666,0.2945243112740431,0.09375,30,0.9864949477064529,0.5625,0.06874999999999999,0.027083333333333338,-27,0.019527539203445854,16,9
09_2d_rectangular_window,cost_phase,local_geometric,M5 (hybrid),0.1308996938995747,0.041666666666666664,0.11453723216212788,0.036458333333333336,31,0.9127388068833634,0.4,-0.19166666666666665,-0.196875,-29,0.066190446914565,20,8
10_3d_small_clustered_obstacles,cost_phase,local_geometric,M1 (sweep),2.22529479629277,0.7083333333333333,0.39269908169872414,0.125,14,0.9733361271388428,0.6666666666666666,0.575,0.058333333333333334,12,0.03079289078640768,18,12
