version,case,transition_mode,description,N,M,W,valid_windows,boundary_windows,near_valid_windows,P_uniform,theta_default,beta_default,r_star_default,P_star_default,theta_opt_heatmap,beta_opt_heatmap,P_opt_heatmap,P_boundary_at_optimum,P_near_valid_at_optimum,theta_opt_scan_default_beta,P_opt_scan_default_beta,mixer_method
V5,03_1d_two_free_regions,valid_boundary,1D grid with two occupied blocks and a central valid plateau.,[10],[3],8,3,4,5,0.375,1.0471975511965976,0.3,45,0.5312136372389176,0.8377580409572781,0.5235987755982988,0.8395677892275036,0.24790772172061407,0.9116060857357082,5.759586531581287,0.7312978435881329,linear_valid
V5,03_1d_two_free_regions,oriented_valid,1D grid with two occupied blocks and a central valid plateau.,[10],[3],8,3,4,5,0.375,1.0471975511965976,0.3,9,0.5337643939058544,0.10471975511965977,0.2617993877991494,0.8708371908961215,0.595525975806636,0.9194474098231978,0.10471975511965977,0.8686380422947936,linear_valid
V5,04_1d_clustered_medium,delta_cost,Medium 1D case with several clustered obstacles.,[16],[3],14,4,7,8,0.2857142857142857,1.0471975511965976,0.24,37,0.3567584663492752,1.361356816555577,1.1519173063162573,0.7134058225218121,0.4338819927464781,0.8044227344955707,6.126105674500097,0.547540301515236,local_geometric
V5,04_1d_clustered_medium,descent,Medium 1D case with several clustered obstacles.,[16],[3],14,4,7,8,0.2857142857142857,1.0471975511965976,0.24,55,0.39135459396638106,0.3141592653589793,0.5235987755982988,0.7806602342828551,0.6894369706920349,0.9316722916564262,0.2617993877991494,0.6454029379963984,local_geometric
V5,04_1d_clustered_medium,valid_boundary,Medium 1D case with several clustered obstacles.,[16],[3],14,4,7,8,0.2857142857142857,1.0471975511965976,0.24,14,0.3302881094051457,1.361356816555577,1.2566370614359172,0.5473891305890696,0.6202951952787914,0.7657621396918015,6.073745796940266,0.6308623524723492,local_geometric
V5,04_1d_clustered_medium,oriented_valid,Medium 1D case with several clustered obstacles.,[16],[3],14,4,7,8,0.2857142857142857,1.0471975511965976,0.24,4,0.40265667536431027,0.6283185307179586,0.5235987755982988,0.6127723481522416,0.6467387368494952,0.697786355945196,3.3510321638291125,0.5675158423599997,local_geometric
V5,05_1d_long_clustered_blocks,delta_cost,Longer 1D case with separated occupied blocks.,[32],[4],29,11,12,17,0.3793103448275862,0.7853981633974483,0.18,50,0.39104587927822543,0.6283185307179586,0.8377580409572781,0.666100848741164,0.4779010073912033,0.812840827770012,6.073745796940266,0.5145779412833267,local_geometric
V5,05_1d_long_clustered_blocks,descent,Longer 1D case with separated occupied blocks.,[32],[4],29,11,12,17,0.3793103448275862,0.7853981633974483,0.18,3,0.4444578840687341,0.7330382858376183,0.7853981633974483,0.587676016976407,0.511601937679673,0.7086356677326985,0.6283185307179586,0.4481295121366004,local_geometric
V5,05_1d_long_clustered_blocks,valid_boundary,Longer 1D case with separated occupied blocks.,[32],[4],29,11,12,17,0.3793103448275862,0.7853981633974483,0.18,4,0.3837303491575231,1.780235837034216,0.9948376736367678,0.47340518340788573,0.26904331207798915,0.5849385753929492,4.974188368183839,0.3931601933461196,local_geometric
V5,05_1d_long_clustered_blocks,oriented_valid,Longer 1D case with separated occupied blocks.,[32],[4],29,11,12,17,0.3793103448275862,0.7853981633974483,0.18,16,0.4816412986125392,0.20943951023931953,0.20943951023931953,0.7704576299869716,0.5408816652222624,0.8123136830160537,0.2617993877991494,0.7067638188677022,local_geometric
V5,06_2d_tiny_corner_block,delta_cost,Small 2D case with a single valid 2x2 region.,"[3, 3]","[2, 2]",4,1,3,4,0.25,1.5707963267948966,0.28,40,0.281096375682556,2.9321531433504733,0.41887902047863906,0.432442768582394,0.622486258638973,0.9999999999999889,5.340707511102648,0.784008603904563,local_geometric
