case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
01_1d_tiny_single_gap,delta_cost,local_geometric,M1 (sweep),2.0943951023931953,0.6666666666666666,1.2435470920459597,0.3958333333333333,19,0.7798497691851157,0.2,-0.16666666666666663,-0.00416666666666669,-29,-0.028411508207095593,5,1
01_1d_tiny_single_gap,delta_cost,local_geometric,M2 (eigen),1.5707963267948966,0.5,0.3,0.0954929658551372,48,0.2852966005970035,0.2,-0.33333333333333326,-0.3045070341448628,0,-0.5229646767952079,5,1
01_1d_tiny_single_gap,delta_cost,local_geometric,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.05689164944001349,0.2,-0.33333333333333326,-0.04758361765043322,-47,-0.7513696279521979,5,1
01_1d_tiny_single_gap,delta_cost,local_geometric,M4 (grad),0.8262543960966641,0.26300494278038583,0.6346397682163806,0.2020121123886634,48,0.33516546949772935,0.2,-0.5703283905529475,-0.1979878876113366,0,-0.47309580789448197,5,1
01_1d_tiny_single_gap,delta_cost,local_geometric,M5 (hybrid),2.7488935718910685,0.8749999999999999,1.1944597068336194,0.38020833333333337,55,0.8432614935027101,0.2,0.04166666666666662,-0.019791666666666638,7,0.03500021611049875,5,1
01_1d_tiny_single_gap,delta_cost,local_geometric,Experimental,2.617993877991494,0.8333333333333333,1.2566370614359172,0.4,48,0.8082612773922113,0.2,0.0,0.0,0,0.0,5,1
01_1d_tiny_single_gap,descent,local_geometric,M1 (sweep),0.916297857297023,0.29166666666666663,0.916297857297023,0.29166666666666663,23,0.9220757379386642,0.2,0.125,0.09166666666666666,19,0.3585426897749586,5,1
01_1d_tiny_single_gap,descent,local_geometric,M2 (eigen),1.5707963267948966,0.5,0.3,0.0954929658551372,4,0.25571142907375216,0.2,0.33333333333333337,-0.1045070341448628,0,-0.30782161908995337,5,1
01_1d_tiny_single_gap,descent,local_geometric,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.05689164944001349,0.2,0.33333333333333337,0.15241638234956678,-3,-0.5066413987236921,5,1
01_1d_tiny_single_gap,descent,local_geometric,M4 (grad),0.6804209408146479,0.21658471222777834,0.010258298583503878,0.0032653178545544604,4,0.19928766249192953,0.2,0.049918045561111686,-0.19673468214544554,0,-0.364245385671776,5,1
01_1d_tiny_single_gap,descent,local_geometric,M5 (hybrid),0.7853981633974483,0.25,0.9490227807719167,0.30208333333333337,30,0.928340999143334,0.2,0.08333333333333334,0.10208333333333335,26,0.3648079509796285,5,1
01_1d_tiny_single_gap,descent,local_geometric,Experimental,0.5235987755982988,0.16666666666666666,0.6283185307179586,0.2,4,0.5635330481637055,0.2,0.0,0.0,0,0.0,5,1
01_1d_tiny_single_gap,valid_boundary,local_geometric,M1 (sweep),1.7016960206944711,0.5416666666666666,1.4398966328953218,0.4583333333333333,21,0.7467808965695291,0.2,0.008333333333333309,-0.025,-35,-0.021335095231530543,5,1
01_1d_tiny_single_gap,valid_boundary,local_geometric,M2 (eigen),1.5707963267948966,0.5,0.3,0.0954929658551372,56,0.3675757948554827,0.2,-0.03333333333333331,-0.3878403674781961,0,-0.4005401969455769,5,1
01_1d_tiny_single_gap,valid_boundary,local_geometric,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.34310835055998645,0.2,-0.03333333333333331,-0.13091695098376652,-55,-0.42500764124107315,5,1
01_1d_tiny_single_gap,valid_boundary,local_geometric,M4 (grad),0.3165421505369143,0.10075849590977753,0.4177968922512542,0.1329888812204382,56,0.2685875662924522,0.2,-0.43257483742355574,-0.3503444521128951,0,-0.49952842550860743,5,1
01_1d_tiny_single_gap,valid_boundary,local_geometric,M5 (hybrid),2.6834437249412817,0.8541666666666667,1.325359400733194,0.421875,58,0.928208903251136,0.2,0.32083333333333336,-0.06145833333333333,2,0.16009291145007642,5,1
01_1d_tiny_single_gap,valid_boundary,local_geometric,Experimental,1.6755160819145563,0.5333333333333333,1.5184364492350666,0.48333333333333334,56,0.7681159918010596,0.2,0.0,0.0,0,0.0,5,1
01_1d_tiny_single_gap,oriented_valid,local_geometric,M1 (sweep),0.5235987755982988,0.16666666666666666,0.39269908169872414,0.125,25,0.8485747476440691,0.2,0.0,-0.09166666666666666,-32,-0.015215798851793139,5,1
01_1d_tiny_single_gap,oriented_valid,local_geometric,M2 (eigen),1.5707963267948966,0.5,0.3,0.0954929658551372,57,0.30915967384254917,0.2,0.33333333333333337,-0.12117370081152945,0,-0.5546308726533131,5,1
01_1d_tiny_single_gap,oriented_valid,local_geometric,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.34310835055998656,0.2,0.33333333333333337,0.13574971568290012,-56,-0.5206821959358757,5,1
01_1d_tiny_single_gap,oriented_valid,local_geometric,M4 (grad),0.853933968904852,0.27181562445057605,0.5728897408887432,0.18235646821815718,57,0.2863388991847915,0.2,0.10514895778390942,-0.034310198448509466,0,-0.5774516473110708,5,1
01_1d_tiny_single_gap,oriented_valid,local_geometric,M5 (hybrid),0.3272492347489368,0.10416666666666667,0.2454369260617026,0.078125,39,0.8862270692757576,0.2,-0.06249999999999998,-0.13854166666666665,-18,0.022436522779895274,5,1
01_1d_tiny_single_gap,oriented_valid,local_geometric,Experimental,0.5235987755982988,0.16666666666666666,0.6806784082777885,0.21666666666666665,57,0.8637905464958623,0.2,0.0,0.0,0,0.0,5,1
01_1d_tiny_single_gap,delta_cost,linear_valid,M1 (sweep),2.0943951023931953,0.6666666666666666,1.2435470920459597,0.3958333333333333,19,0.7798497691851157,0.2,-0.16666666666666663,0.0,-29,-0.040138021487550746,5,1
01_1d_tiny_single_gap,delta_cost,linear_valid,M2 (eigen),1.5707963267948966,0.5,0.3,0.0954929658551372,48,0.2852966005970035,0.2,-0.33333333333333326,-0.3003403674781961,0,-0.534691190075663,5,1
01_1d_tiny_single_gap,delta_cost,linear_valid,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.05689164944001349,0.2,-0.33333333333333326,-0.04341695098376653,-47,-0.763096141232653,5,1
01_1d_tiny_single_gap,delta_cost,linear_valid,M4 (grad),0.8262543960966641,0.26300494278038583,0.6346397682163806,0.2020121123886634,48,0.33516546949772935,0.2,-0.5703283905529475,-0.19382122094466991,0,-0.4848223211749371,5,1
