transition_mode,mixer_method,method,mean_P_valid,median_P_valid,std_P_valid,min_P_valid,max_P_valid,wins_best_by_case,cases
delta_cost,rx_all,M3 (theory),0.27163907293950323,0.2578163661349011,0.1832854228782014,0.010000000000000023,0.6220485816205198,0,10
delta_cost,rx_all,M4 (grad),0.21603669383221896,0.23274621741727758,0.10583271124747595,0.02710150159405067,0.41067245319501944,0,10
delta_cost,rx_all,M5 (hybrid),0.739736126955824,0.7598506227518074,0.1744214552606948,0.41956764598299795,0.9743342611144041,0,10
delta_cost,rx_all,Experimental,0.6559342970674613,0.6476043488229986,0.18496123467088738,0.3656290129937933,0.9487756971785872,0,10
descent,local_geometric,M1 (sweep),0.8625852101225618,0.9145195820383141,0.11094810946610242,0.6439828734943303,0.9968134563396265,0,10
descent,local_geometric,M2 (eigen),0.5450552794086461,0.5904422610532658,0.2124121739649496,0.19355413215922598,0.906502706504869,0,10
descent,local_geometric,M3 (theory),0.4047325369701241,0.45886973864900926,0.19504014627389968,0.05689164944001349,0.7037287784239776,0,10
descent,local_geometric,M4 (grad),0.35135315626408314,0.32549650031931077,0.21079487644307446,0.10756488776746952,0.8368358368777385,0,10
descent,local_geometric,M5 (hybrid),0.8876296937447934,0.9325202404801686,0.09439720356636938,0.7020923980847867,0.9992734376813616,2,10
descent,local_geometric,Experimental,0.7658697368550986,0.832727902778753,0.1465525695557167,0.5100769655553824,0.9612145985032564,0,10
descent,linear_valid,M1 (sweep),0.852373171913879,0.9159809385745163,0.121925580527432,0.5804449684613917,0.9740780956648378,0,10
descent,linear_valid,M2 (eigen),0.5147723756516115,0.5368608723765327,0.1819149398358333,0.22502187315638567,0.8414659389549225,0,10
descent,linear_valid,M3 (theory),0.3901603752676036,0.3699423058347179,0.2019155411900197,0.05689164944001349,0.746891778177505,0,10
descent,linear_valid,M4 (grad),0.3750771926358535,0.35166814066979896,0.21645557687647168,0.10756488776746952,0.8887389086232876,0,10
descent,linear_valid,M5 (hybrid),0.8793299359618549,0.9325202404801686,0.09518939669013275,0.6837105072767814,0.9817351760672969,0,10
descent,linear_valid,Experimental,0.7626071245658063,0.7925910500620543,0.13805081994278598,0.5623355753292851,0.9452215175430948,0,10
descent,rx_all,M1 (sweep),0.7153288235490628,0.703766051153081,0.19914188083073334,0.3997831873091815,1.0,1,10
descent,rx_all,M2 (eigen),0.5696490445088596,0.5525228184832556,0.18940638389236863,0.22629368828089583,0.8372540144352861,0,10
descent,rx_all,M3 (theory),0.246852713589085,0.2021438706567389,0.2244332837513628,0.0144,0.81,0,10
descent,rx_all,M4 (grad),0.3029757976404569,0.24274297922231136,0.15230279184550138,0.07733719512536331,0.604887324503381,0,10
descent,rx_all,M5 (hybrid),0.7426270958674276,0.7385774163888512,0.19886690069184107,0.4070112281167709,1.0,0,10
descent,rx_all,Experimental,0.6657336814877404,0.6146842336404084,0.21609288865178364,0.3011477527685099,0.9972158665801687,0,10
valid_boundary,local_geometric,M1 (sweep),0.7274892964092976,0.7847234422499623,0.2028295313774011,0.3247730432189802,0.9333316055838787,0,10
valid_boundary,local_geometric,M2 (eigen),0.4640496215391966,0.38503736760871876,0.20883662049532783,0.1641581229297805,0.8680974518212182,0,10
valid_boundary,local_geometric,M3 (theory),0.3555485473192002,0.38121452238910947,0.17389371977914272,0.06286878245383035,0.637401594029457,0,10
valid_boundary,local_geometric,M4 (grad),0.32456865420030706,0.3084849047331568,0.2006099507100497,0.017295364520050597,0.674852915351345,0,10
valid_boundary,local_geometric,M5 (hybrid),0.7724540031994783,0.8682413185036398,0.21387252539179288,0.3313807865153701,0.971530649047698,0,10
valid_boundary,local_geometric,Experimental,0.6462294906468595,0.6916957786989096,0.20596708453738866,0.31113908597889467,0.923333777119036,0,10
valid_boundary,linear_valid,M1 (sweep),0.750365128851987,0.7331394566800203,0.13514362596219134,0.45324312984324183,0.9499708561479091,0,10
valid_boundary,linear_valid,M2 (eigen),0.44823604619152907,0.4261335406193079,0.14393182168895202,0.1945796360768975,0.7135207738695392,0,10
valid_boundary,linear_valid,M3 (theory),0.36000425198119085,0.38121452238910947,0.15841236524984464,0.07912921720814979,0.6431907083886574,0,10
valid_boundary,linear_valid,M4 (grad),0.39563522212328917,0.36222419681489026,0.21724301495715082,0.10484107329376229,0.822889508040563,0,10
valid_boundary,linear_valid,M5 (hybrid),0.8269312220315385,0.8373653122309244,0.09969679707740764,0.643178502743698,0.9525922257125443,0,10
valid_boundary,linear_valid,Experimental,0.6390760119060941,0.6344394334185732,0.18795511945656987,0.2785615410178534,0.9051712380563859,0,10
valid_boundary,rx_all,M1 (sweep),0.5673411241880781,0.5427920912037468,0.19507474248478254,0.2316685066835152,0.9766274094581602,0,10
valid_boundary,rx_all,M2 (eigen),0.3760937420325379,0.3195371744587473,0.18761665220911833,0.09205947057637336,0.7239710091940273,0,10
valid_boundary,rx_all,M3 (theory),0.2756710726192778,0.2567989709792479,0.17930416082021855,0.020277777777777763,0.5881653683279756,0,10
valid_boundary,rx_all,M4 (grad),0.2682554504020262,0.24963735046980617,0.1626625046016869,0.0705264465253928,0.5513559052148899,0,10
valid_boundary,rx_all,M5 (hybrid),0.5845770982821266,0.5541238792156282,0.18428975425230107,0.30750560145651984,0.9766274094581602,0,10
valid_boundary,rx_all,Experimental,0.5050909705266947,0.5206804919158095,0.18511882291326517,0.15480788960919564,0.824086054585994,0,10
oriented_valid,local_geometric,M1 (sweep),0.8650383915180292,0.8780751430781975,0.07676390606521812,0.7201078845850482,0.9636152051127441,0,10
oriented_valid,local_geometric,M2 (eigen),0.5463238036586539,0.5090905213306889,0.20370650602638063,0.2412283935732125,0.9149784769742475,0,10
oriented_valid,local_geometric,M3 (theory),0.35283761519816725,0.3370563312779152,0.18131068717416685,0.11837177763036746,0.7825050310619207,0,10
oriented_valid,local_geometric,M4 (grad),0.41177388195838976,0.4272638418645428,0.2189560145846353,0.039899254334114675,0.8215183487768033,0,10
oriented_valid,local_geometric,M5 (hybrid),0.9057952482576894,0.9028830699573509,0.05366768418913189,0.7951317577199559,0.9803508517698529,7,10
